Feature,Mutual_Information,Correlation,Variance,Importance,Average_Score
native_country_ Jamaica,0.0,0.03128792875445456,0.010497964128661639,0.0023359430438716264,0.011030458981746956
native_country_ England,0.0,0.02583210852713622,0.011293024812505536,0.0055465220025386905,0.010667913835545112
native_country_ Iran,0.0,0.03293771924922288,0.005455193336210994,0.002704711111259481,0.010274405924173339
native_country_ Nicaragua,0.002900598565793004,0.030463886770201336,0.004258984181310778,0.0007045995905801929,0.00958201727697133
native_country_ Laos,0.020740083608303025,0.014257858000350381,0.0021306230321181834,0.0004455126557732775,0.009393519324136217
native_country_ Yugoslavia,0.0204663114614944,0.013148323658616113,0.001997525358712288,0.0018976475265616605,0.009377452001346114
native_country_ Portugal,0.010788074982499063,0.020982830253917433,0.004391931651554202,0.001149028837899525,0.009327966431467556
native_country_ Italy,0.0,0.02376038968033347,0.008906888529112558,0.004481773847802309,0.009287263014312083
marital_status_ Married-AF-spouse,0.0,0.029246530123224666,0.002662925370939379,0.0030227670319534555,0.008733055631529376
native_country_ Greece,0.02471126435784256,0.0023846258620827095,0.0037271059455352144,0.0019124952665216263,0.008183872857995527
workclass_ Without-pay,0.0037382290463895845,0.025946289551009055,0.0017313035054588625,0.0003086506371379036,0.007931118184998852
native_country_ Outlying-US(Guam-USVI-etc),0.0,0.025946289551008885,0.0017313035054590433,0.0002010838031071186,0.006969669214893762
native_country_ Hungary,0.02402869309484189,0.0,0.0015981793256134365,0.0009725205075144333,0.006649848231992441
native_country_ Scotland,0.01990762252520364,0.004707100407523915,0.0013319044594785434,0.0003559718827236411,0.006575649818732435
native_country_ Hong,0.015382894411158454,0.006770936760438661,0.002396791872488671,0.0009433860093239863,0.006373502263352443
native_country_ South,0.0011412720791103917,0.011115377562919047,0.009304776707970872,0.003332879784091266,0.006223576533522894
native_country_ Ecuador,0.006061478197807994,0.013732636384830302,0.0034611138147670533,0.0009653133216863083,0.006055135429772915
native_country_ Trinadad&Tobago,0.0033621230383729965,0.015559305087068692,0.0022637118700441134,0.0006649581232770783,0.005462524529690721
native_country_ China,0.0006998325364240231,0.009212964707076172,0.008906888529112537,0.0025347030716175514,0.005338597211057571
native_country_ Cuba,0.0,0.0046015657278339565,0.012087767419064652,0.004502656179969104,0.005297997331716928
native_country_ Poland,0.0,0.009818502594644514,0.00731454062040985,0.002907756349947556,0.00501019989125048
native_country_ Honduras,0.0,0.015225790057638383,0.0014650463102857713,7.007199039649451e-05,0.004190227089580162
occupation_ Armed-Forces,0.0,0.01042557300753058,0.0010655942514241948,0.0001546530147910689,0.0029114550684364612
native_country_ Thailand,0.0,0.006990301239143899,0.002130623032118184,0.0004287826346185402,0.002387426726470156
native_country_ Ireland,0.0,0.003998248574364936,0.0030620593525145057,0.0011363080332390443,0.0020491539900296214
native_country_ Holand-Netherlands,0.0,0.00549516781362713,0.0,0.0,0.0013737919534067824
