Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Tenure_Months,Age,Total_bought,Total_purchases,Cmp_Accepted,Kmeans_labels
1987,Graduation,Committed,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,20,27,46,5,0,4
1946,PhD,Uncommitted,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,19,68,1315,26,2,1
1980,Graduation,Committed,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,18,34,96,9,0,4
1946,Graduation,Committed,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,22,68,317,13,0,5
1949,Master,Committed,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,15,65,1782,26,1,5
1985,2n Cycle,Uncommitted,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,19,29,133,8,0,7
1982,Graduation,Committed,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,22,32,316,12,0,4
1979,Graduation,Committed,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,17,35,1730,43,0,4
1949,PhD,Committed,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,18,65,972,17,1,5
1954,PhD,Committed,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,5,60,544,20,0,2
1951,Graduation,Committed,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,15,63,444,20,0,2
1969,Graduation,Uncommitted,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,17,45,75,8,0,7
1976,Graduation,Committed,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,13,38,257,14,0,5
1989,Graduation,Committed,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,13,25,131,9,0,4
1965,PhD,Committed,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,7,49,1672,26,1,0
1989,Master,Uncommitted,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,1,25,30,8,0,7
1963,Master,Committed,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,13,51,318,11,0,5
1970,Graduation,Committed,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,20,44,120,9,1,5
1952,PhD,Uncommitted,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,20,62,302,17,0,1
1946,Master,Committed,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,16,68,1196,18,0,5
1951,Master,Uncommitted,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,10,63,65,6,0,3
1970,PhD,Committed,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,6,44,913,28,0,0
1976,2n Cycle,Committed,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,9,38,81,9,0,6
1973,Graduation,Uncommitted,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,4,41,67,7,0,3
1943,PhD,Uncommitted,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,16,71,902,24,1,1
1980,Graduation,Committed,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,14,34,1395,21,0,5
1985,Master,Committed,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,15,29,53,7,0,4
1957,Graduation,Committed,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,18,57,22,4,0,2
1975,Master,Committed,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,8,39,31,8,0,6
1976,Graduation,Uncommitted,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,0,38,984,16,0,3
1996,2n Cycle,Committed,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,19,18,122,10,0,4
1968,Graduation,Committed,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,13,46,55,5,0,4
1954,PhD,Committed,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,19,60,1319,28,0,5
1957,Graduation,Uncommitted,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,1,57,507,17,0,3
1964,Master,Committed,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,22,50,1693,29,0,5
1977,Graduation,Uncommitted,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,17,37,72,7,0,7
1977,Graduation,Uncommitted,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,0,37,1617,21,2,3
1978,Graduation,Committed,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,12,36,606,23,0,4
1955,Master,Committed,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,19,59,1957,27,1,5
1966,Graduation,Uncommitted,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,14,48,1093,21,0,1
1988,Graduation,Uncommitted,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,2,26,29,6,0,7
1968,PhD,Committed,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,3,46,518,19,0,0
1982,Master,Uncommitted,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,11,32,1438,21,2,3
1975,Graduation,Committed,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,21,39,612,22,0,5
1952,Graduation,Uncommitted,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,16,62,884,24,0,1
1951,PhD,Uncommitted,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,12,63,606,19,0,1
1948,Graduation,Committed,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,6,66,1076,16,0,0
1971,Graduation,Committed,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,13,43,34,5,0,4
1967,Graduation,Committed,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,1,47,11,4,0,6
1979,2n Cycle,Uncommitted,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,3,35,1274,32,2,3
1958,Graduation,Committed,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,9,56,653,18,0,0
1970,Graduation,Committed,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,14,44,1562,19,0,5
1954,Master,Committed,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,21,60,1253,21,0,5
1959,Graduation,Committed,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,15,55,863,30,0,5
1975,PhD,Committed,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,14,39,661,24,1,2
1952,Graduation,Committed,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,2,62,65,8,0,2
1977,Graduation,Uncommitted,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,18,37,13,4,0,7
1972,Master,Committed,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,22,42,1890,19,0,5
1976,Graduation,Uncommitted,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,20,38,2209,22,1,1
1976,2n Cycle,Committed,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,9,38,18,4,0,6
1965,Graduation,Committed,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,17,49,692,21,1,5
1985,Graduation,Uncommitted,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,22,29,165,12,0,7
1969,Graduation,Committed,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,12,45,16,4,0,4
1973,2n Cycle,Committed,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,11,41,79,9,0,6
1963,Master,Committed,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,13,51,318,11,0,5
1987,Graduation,Uncommitted,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,4,27,778,27,0,3
1960,Graduation,Committed,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,10,54,56,7,0,6
1970,Master,Committed,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,11,44,151,13,1,2
1957,Graduation,Uncommitted,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,1,57,372,17,2,3
1973,Graduation,Committed,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,1,41,1366,19,1,0
1967,Graduation,Committed,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,5,47,194,10,0,0
1972,Master,Uncommitted,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,3,42,32,5,0,3
1970,PhD,Committed,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,1,44,43,10,0,6
1983,Graduation,Committed,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,1,31,45,6,0,6
1960,Graduation,Uncommitted,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,19,54,606,22,1,1
1972,Graduation,Uncommitted,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,14,42,63,7,0,1
1951,2n Cycle,Committed,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,6,63,978,25,1,0
1983,PhD,Committed,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,12,31,410,16,0,4
1960,2n Cycle,Uncommitted,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,11,54,72,7,0,3
1959,PhD,Uncommitted,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,3,55,55,7,0,3
1979,Graduation,Committed,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,14,35,1169,27,0,5
1945,PhD,Committed,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,13,69,1120,16,0,5
1959,Graduation,Committed,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,1,55,1097,20,0,0
1979,Basic,Committed,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,6,35,29,5,0,6
1964,Graduation,Committed,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,9,50,187,13,0,2
1969,Graduation,Committed,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,16,45,910,26,0,5
1978,Graduation,Uncommitted,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,18,36,145,9,0,7
1960,Master,Committed,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,18,54,850,14,0,5
1979,Graduation,Committed,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,7,35,969,24,0,0
1991,PhD,Uncommitted,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,19,23,1820,17,1,1
1963,Master,Committed,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,0,51,608,20,1,0
1991,Graduation,Uncommitted,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,17,23,730,25,2,1
1980,PhD,Committed,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,18,34,551,21,0,4
1962,Graduation,Uncommitted,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,9,52,114,8,0,7
1970,Graduation,Committed,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,5,44,1724,15,2,0
1978,2n Cycle,Committed,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,16,36,577,20,0,4
1967,2n Cycle,Committed,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,11,47,81,7,0,6
1969,Graduation,Committed,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,7,45,33,7,0,6
1953,Master,Committed,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,12,61,660,22,0,2
1967,Master,Uncommitted,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,4,47,80,9,0,7
1985,Master,Committed,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,9,29,30,6,0,6
1976,Graduation,Uncommitted,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,14,38,43,5,0,7
1983,Graduation,Uncommitted,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,15,31,1135,27,3,1
1965,2n Cycle,Committed,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,16,49,559,16,0,5
1984,Graduation,Uncommitted,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,14,30,1923,16,0,1
1953,Master,Committed,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,0,61,90,8,0,2
1956,PhD,Committed,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,1,58,661,23,0,2
1952,Graduation,Committed,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,9,62,463,19,0,2
1958,Master,Uncommitted,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,15,56,632,23,0,1
1969,Graduation,Committed,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,4,45,725,19,0,0
1964,PhD,Committed,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,10,50,279,16,0,2
1967,PhD,Committed,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,15,47,1482,23,1,5
1976,Basic,Uncommitted,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,22,38,29,6,0,7
1959,PhD,Committed,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,11,55,106,9,0,6
1973,PhD,Uncommitted,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,1,41,49,6,1,3
1965,PhD,Uncommitted,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,11,49,38,7,0,7
1992,Master,Uncommitted,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,20,22,2077,22,0,1
1976,Master,Committed,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,7,38,1053,17,0,0
1962,Graduation,Committed,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,14,52,1385,23,0,5
1974,PhD,Uncommitted,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,10,40,871,25,0,3
1988,Graduation,Committed,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,15,26,312,12,0,4
1976,Graduation,Committed,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,20,38,877,15,0,5
1975,Graduation,Committed,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,20,39,68,6,0,4
1981,Graduation,Committed,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,10,33,22,4,0,6
1973,2n Cycle,Committed,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,22,41,211,16,0,4
1966,Master,Committed,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,0,48,127,8,0,0
1953,Master,Committed,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,2,61,459,16,0,2
1969,Graduation,Committed,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,3,45,460,19,1,0
1972,2n Cycle,Committed,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,18,42,429,17,0,5
1988,Graduation,Uncommitted,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,1,26,89,11,0,7
1952,PhD,Committed,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,20,62,1021,26,0,5
1949,Graduation,Committed,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,16,65,1381,21,2,5
1958,Graduation,Uncommitted,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,11,56,306,15,0,3
1978,Graduation,Uncommitted,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,9,36,18,4,0,7
1977,Graduation,Committed,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,8,37,162,9,0,0
1955,Graduation,Uncommitted,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,10,59,1231,18,0,3
1958,Master,Uncommitted,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,11,56,13,4,0,7
1945,PhD,Committed,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,19,69,1706,27,0,5
1984,Graduation,Committed,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,5,30,121,11,0,6
1975,PhD,Uncommitted,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,13,39,1293,20,0,1
1966,Graduation,Committed,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,7,48,88,9,0,6
1953,Graduation,Uncommitted,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,7,61,421,18,1,3
1959,Graduation,Uncommitted,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,10,55,259,12,1,3
1988,Graduation,Uncommitted,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,7,26,1117,15,0,3
1957,Graduation,Committed,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,4,57,89,9,0,2
1965,Graduation,Committed,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,2,49,36,6,0,6
1982,Graduation,Committed,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,11,32,57,7,0,6
1970,Graduation,Committed,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,2,44,148,8,0,6
1959,PhD,Committed,53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,5,55,93,8,0,0
1967,Graduation,Uncommitted,52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,2,47,119,7,1,3
1975,PhD,Committed,80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,21,39,1835,28,0,5
1948,PhD,Committed,83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,18,66,1318,25,2,5
1970,PhD,Committed,38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,1,44,45,7,0,6
1959,Graduation,Committed,38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,0,55,10,4,0,6
1951,2n Cycle,Committed,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,6,63,978,25,1,0
1976,PhD,Committed,51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,1,38,191,10,0,0
1988,2n Cycle,Committed,16248.0,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,1,26,57,9,0,6
1946,Master,Committed,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,9,68,1033,24,0,2
1984,Master,Committed,30477.0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,5,30,66,6,0,6
1961,Basic,Committed,28249.0,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,0,53,43,6,0,6
1983,Graduation,Committed,25271.0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,18,31,50,5,0,4
1970,PhD,Uncommitted,32303.0,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,3,44,39,7,0,3
1966,Graduation,Committed,61286.0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,10,48,608,18,0,0
1976,Graduation,Committed,74068.0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,15,38,1581,24,0,5
1964,PhD,Committed,45759.0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,16,50,68,7,0,2
1978,Basic,Committed,24882.0,1,0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,21,36,80,5,1,4
1989,PhD,Committed,66973.0,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,13,25,1282,28,0,5
1988,Graduation,Committed,38872.0,1,0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,13,26,91,8,0,4
1973,Graduation,Committed,51148.0,1,1,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,16,41,315,16,0,4
1977,Graduation,Committed,31353.0,1,1,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,6,37,31,6,0,6
1980,Master,Committed,69661.0,0,0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,1,34,834,23,0,0
1954,Graduation,Committed,80067.0,0,0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,9,60,1600,17,1,0
1954,Graduation,Committed,86718.0,0,0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,17,60,1270,17,0,5
1973,PhD,Uncommitted,46854.0,1,1,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,3,41,263,15,1,3
1952,Graduation,Uncommitted,69142.0,0,1,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,0,62,535,19,1,3
