Contract_Month-to-month,InternetService_Fiber optic,MonthlyCh_TotalCh_Ratio,PaymentMethod_Electronic check,DeviceProtection_Yes,Churn_Yes
0,0,0.5174998632981227,0,1,0
1,1,0.5792476821610628,1,1,0
1,1,0.6118508777850503,1,0,1
0,0,0.4338753572693224,1,0,0
1,1,0.9488146758773024,1,0,0
0,0,0.6184091793252539,0,0,0
1,1,0.8089082844859719,1,0,1
0,0,0.5964497870505381,0,0,0
1,1,0.6864558365587746,0,0,0
0,1,0.4962468544624488,0,1,0
1,0,0.8786947638757309,0,0,0
1,1,0.9331609625691032,1,0,1
1,0,0.8587402058606115,0,0,0
1,0,0.9368020550968504,0,0,0
0,1,0.631417372478627,1,0,0
1,1,0.6723342341391855,1,1,1
0,0,0.1144638338747401,0,0,0
0,0,0.2911345798971952,1,0,0
1,1,0.7711393714709616,1,0,0
1,0,0.6830988739749885,0,1,1
0,0,0.4116888827968727,0,0,0
1,0,0.9897943594298776,1,0,1
0,0,0.5613455813630712,0,0,0
1,1,0.698065028842043,0,0,0
0,0,0.4272184443186221,0,0,0
0,0,0.4620108680637226,0,0,0
0,0,0.1330693703870779,0,1,0
1,0,0.8438748433775228,1,0,1
0,1,0.4676733813422985,0,0,0
0,1,0.4335402520006338,0,0,0
0,0,0.0981507298839748,0,0,0
0,1,0.4092775403833675,0,0,0
0,0,0.9307642390005078,0,0,0
0,0,0.6569667164554,0,1,0
1,0,0.7607695379550049,0,1,0
1,0,0.8390993861259705,1,0,0
1,1,0.8589188576548811,0,0,1
0,1,0.0977498198440455,0,1,0
0,0,0.4530882902388234,1,1,0
1,0,0.8741949033330979,0,0,0
1,1,0.7701988757789971,0,0,0
1,1,0.7132578869886949,0,0,0
0,0,0.7205505543736197,0,0,0
0,0,0.7566903317742094,0,1,0
0,0,0.8176630925528517,0,0,0
1,0,0.7745219147308041,1,0,0
1,1,0.7295262149162979,1,0,1
1,1,0.9793581359060008,1,0,0
0,0,0.5099891695387584,0,1,0
0,0,0.799325289543607,0,0,0
0,0,0.352780756834326,0,0,0
1,1,0.9143086629672804,0,0,1
0,0,0.3054862098601573,0,1,0
1,0,0.4721272523145531,1,1,1
1,0,0.7581719830851142,1,0,0
0,1,0.5865729537285245,0,1,0
1,1,0.957442501412196,1,1,1
0,0,0.7681950550663145,0,1,0
0,1,0.516245321579646,0,1,1
0,0,0.644387250088656,0,0,0
1,0,0.6462260771203492,1,0,0
1,1,0.7610450525177044,0,0,1
1,1,0.8632788168035425,0,0,1
1,1,0.7656974553835234,0,1,0
0,0,0.4492307289839387,0,0,0
1,1,0.8449773553641495,0,0,1
0,0,0.6396623931199971,0,1,0
1,1,0.7718849249057251,1,1,1
1,0,0.7272702054339855,0,0,0
1,0,0.9504564259598672,1,0,0
0,0,0.7877822595646334,1,0,0
1,0,0.5864537823071474,0,0,0
0,0,0.5739616077085941,0,0,0
1,1,0.8730978284044928,1,1,1
0,0,0.3277114609829379,0,0,0
0,1,0.0246467546234484,0,1,0
0,0,0.4413574865930901,0,0,0
1,1,0.7275384954178281,1,0,0
0,0,0.6930114895527657,0,0,0
1,1,0.4717734651329178,1,1,0
0,1,0.2338449821525952,0,1,0
0,1,0.6783894913896908,0,0,0
1,1,0.7726422091533865,0,0,0
0,1,0.3079473678034692,1,1,0
1,1,0.7791224234217295,0,0,0
1,1,0.5802792416474974,0,0,0
0,1,0.6341394468987632,0,0,0
1,1,0.7373671903342208,1,1,1
0,1,0.4072833750273121,0,1,0
1,0,0.9893614789960484,0,0,1
0,0,0.4845062950890841,0,0,0
0,0,0.6745849203601145,1,0,0
1,1,0.7053250236552084,1,0,0
1,0,0.4723553417055703,0,1,0
0,0,0.3348261379001805,0,1,0
0,0,0.3795564093885781,0,1,0
0,0,0.4274281389227229,0,1,0
1,1,0.8454995258087635,0,0,0
1,1,0.9150876575210533,1,0,1
0,0,0.0084735007273987,0,0,0
1,0,0.919514060357116,0,0,1
0,0,0.7996293543169949,0,0,0
0,0,0.6849019607375824,0,0,0
0,0,0.6476911925768007,0,1,0
1,1,0.6547767721458089,0,0,0
0,0,0.5489046103256568,0,0,0
0,1,0.5119886363661131,0,0,0
1,1,0.5312380942960361,0,0,0
1,0,0.6686756362611993,1,0,0
1,0,0.9672642764322784,0,0,1
0,0,0.8148350515124044,0,0,0
1,1,0.7398045505650267,1,0,0
1,1,0.7949912188225986,1,0,1
0,0,0.7686500936823437,0,0,0
0,0,0.0971092475799055,0,1,0
0,1,0.1995573759012886,0,1,0
0,0,0.5823989612078516,0,0,0
1,1,0.4077947264798168,1,1,0
1,0,0.7775416863519669,1,1,0
1,1,0.91873723549195,1,0,0
0,0,0.6034901024240424,0,1,0
1,1,0.7678536949968777,1,0,1
0,1,0.5781336784175501,1,1,0
0,1,0.5407688552598479,1,1,0
1,1,0.968118833622658,1,0,1
0,0,0.6470479122898918,0,1,0
1,0,0.8183351612965732,0,0,0
0,0,0.3452068252689276,1,1,0
0,1,0.4497618709204337,0,1,0
0,1,0.5321917590631203,0,1,0
1,0,0.9923574064761134,0,0,1
1,0,0.6726665290696837,1,1,0
1,0,0.9272330641463334,1,1,1
1,1,0.7839917150031009,1,1,1
1,1,0.4991046280182041,1,0,0
0,0,0.6533633714125058,0,0,0
0,1,0.5722531790094831,0,1,0
0,0,0.433611171343107,0,1,0
0,0,0.5497056281540017,0,0,0
1,1,0.7308192766305526,0,0,0
0,0,0.4851956581456003,0,0,1
0,0,0.2442649168643049,0,0,0
1,1,0.7562232525652874,1,0,1
0,0,0.477821188386114,1,0,0
1,1,0.7239370068405758,1,0,0
1,1,0.8928580178973315,1,0,1
1,1,0.5100996513410557,1,1,1
1,0,0.7223575255606596,0,0,0
1,0,0.7718364090768244,1,1,0
1,0,0.888907426001184,0,0,0
1,0,0.8726026233772123,0,0,0
1,0,0.8182776482867733,1,0,0
1,0,0.3674789647331879,0,0,0
1,1,0.733864504195511,0,1,1
0,1,0.6996903160555339,0,0,0
1,0,0.7194085829993113,1,0,0
1,1,0.8410992214273096,1,0,1
1,0,0.8185034807839352,0,0,1
1,1,0.7068913076846066,1,0,1
0,0,0.6378845911059466,0,1,0
0,1,0.7077885269332406,0,1,0
1,1,0.8663832675549135,1,0,0
1,0,0.8015760120535318,0,0,0
0,1,0.2428729098989069,1,1,0
1,1,0.6310164078722533,1,1,0
1,0,0.596380391351487,1,1,0
0,0,0.7014850574407475,0,0,0
1,1,0.9042208291598948,1,0,1
1,1,0.911751629257695,1,1,0
0,0,0.360661010562442,0,1,0
1,1,0.6064859768390027,0,0,0
0,0,0.5396030318444657,0,0,0
1,1,0.6516206174756648,1,0,1
0,0,0.6733110646723998,0,1,0
1,1,0.614296951721666,1,0,0
0,0,0.5576103288207351,0,1,0
1,1,0.717094517211328,1,0,0
0,1,0.583311253829007,0,1,0
1,1,0.887859063810887,1,0,0
1,1,0.8838238561777423,1,0,1
0,1,0.5241618904113038,0,0,0
0,0,0.3617541131154042,0,0,0
0,0,0.6077141952892416,0,0,1
1,1,0.6966806165450675,1,1,1
1,1,0.6233608609231954,0,0,0
0,0,0.5157702065536791,0,0,1
0,0,0.272985677537302,1,1,0
0,0,0.8324593112682197,0,0,0
0,0,0.3308908079881353,0,0,0
1,1,0.5366374531582522,0,0,0
1,1,0.8089969088237348,1,0,0
1,1,0.976452689963316,1,0,1
1,0,0.6738431284698374,1,0,0
1,1,0.7402611389413779,0,1,0
0,0,0.612630139901103,0,0,0
0,0,0.8364675030626241,0,0,0
0,1,0.5585753281804945,0,1,0
1,1,0.8585415382014594,1,0,1
1,1,0.9803665401022608,0,1,1
0,0,0.320312493750122,0,1,1
0,1,0.5662997511799578,1,1,1
0,0,0.3237143189464403,1,1,0
1,1,0.6111945300270442,0,0,0
1,1,0.4203464031503797,1,1,1
1,0,0.6348434989292436,0,0,0
0,0,0.1645953206609698,0,1,0
1,0,0.3817784074985454,0,1,0
0,0,0.4091904007990146,0,0,0
0,0,0.5820740115117813,0,0,0
1,1,0.9877409375791126,1,0,1
0,0,0.3782070351352836,0,0,0
1,0,0.7088835562759217,1,0,0
0,1,0.390069598230225,0,1,0
0,0,0.6183295108436315,0,1,0
0,0,0.7620975838624272,0,0,0
1,1,0.8650655418004618,1,0,0
1,1,0.8986098582196036,0,1,1
1,0,0.7255534774593186,1,0,1
1,1,0.810365036894685,0,0,1
1,0,0.751966828254189,1,0,0
0,1,0.4084987711846441,1,0,0
1,0,0.6794525112213642,0,0,1
0,1,0.5902687848254857,1,0,0
1,0,0.904419660933425,0,0,0
0,1,0.5980496900141536,0,0,0
0,0,0.4819351802693384,0,1,0
0,0,0.5628436867365836,0,0,0
1,1,0.7379905181983366,0,0,0
1,1,0.8849599099039976,0,1,1
1,0,0.7001120733866003,0,0,0
0,1,0.291728342098072,0,1,0
0,1,0.1965244905314349,0,1,0
0,0,0.634562903861184,0,0,0
1,1,0.9647439135919398,1,0,1
0,0,0.7018683741175634,0,0,0
0,1,0.4891728930742175,0,1,0
1,1,0.6086639078440846,0,0,0
0,0,0.5799653150866737,0,1,0
1,1,0.6920548678739711,0,1,1
0,0,0.4664725159733149,1,1,0
0,1,0.7536801411410717,1,1,0
0,1,0.6045778557205004,0,1,0
0,0,0.1275157403878123,0,1,0
0,1,0.5567952494672567,0,1,0
1,0,0.8074666093955803,0,0,1
1,1,0.4836012579852738,1,1,1
0,0,0.5806439066211072,1,1,0
1,1,0.5690830364517943,0,1,0
1,1,0.6736506149560461,0,0,0
1,0,0.6730571351797746,0,1,0
1,0,0.9730150590763248,1,0,0
1,0,0.7350659523506886,0,0,0
1,1,0.5896340946279041,1,0,0
0,0,0.3909285144694913,0,1,0
1,1,0.6339308808206988,0,1,0
1,1,0.6307990476016004,0,0,1
1,0,0.6378159959936928,1,1,0
0,0,0.7216003412632288,0,0,0
0,0,0.6461509574392208,0,0,0
0,0,0.794161154268801,0,0,0
1,1,0.2970578136801172,0,1,1
0,0,0.3464307061621199,0,0,0
0,0,0.7160182082938672,0,0,0
0,0,0.0144201687779039,0,0,0
0,1,0.4492679725160199,0,1,0
1,1,0.6538267650417456,0,0,0
1,1,0.9442645561002958,1,0,1
0,0,0.577044505807837,0,0,0
1,1,0.6642314797157979,1,0,0
1,1,0.527455585989998,1,1,0
1,1,0.5357848568171747,0,0,0
1,1,0.7531269809740245,0,0,0
0,1,0.3324678342538571,0,1,0
0,0,0.5904848356160766,0,0,0
1,1,0.7090071265980047,1,0,1
1,0,0.8787898654661459,0,0,0
1,1,0.8507609590677147,0,0,0
0,1,0.666815229894959,0,1,0
0,0,0.5788926203069744,0,0,0
1,0,0.8040142942412734,0,1,0
1,0,0.498052205939275,0,0,0
0,1,0.527975890917211,0,1,0
1,1,0.8158425987882393,1,0,0
1,1,0.7351801340218227,0,0,0
0,0,0.3578358058088595,0,0,0
1,0,0.4486809252933812,0,0,1
0,0,0.0909987278624759,0,1,0
1,0,0.9593346284218502,1,1,0
1,0,0.7985804043004805,0,0,1
0,0,0.5661153405544123,1,0,0
1,0,0.6768412577069902,0,1,0
0,0,0.6281399161953412,0,0,0
0,1,0.0042788557002273,0,1,0
1,1,0.6244615665464942,0,0,0
1,1,0.7507784882992877,1,1,0
1,1,0.5372249904863287,0,0,0
0,1,0.5156912766789352,0,1,0
1,0,0.7384231376237087,1,0,0
1,1,0.6165708449480914,1,0,0
1,1,0.4546700033040646,1,1,1
0,0,0.5317388291775804,0,0,0
1,1,0.8430765924725765,1,1,0
0,1,0.1993563967718466,0,0,0
0,0,0.3866729604802348,0,0,0
1,0,0.7090315169057851,0,1,0
1,0,0.4642992274410618,0,1,0
1,1,0.671737859298763,1,0,1
0,0,0.4756857109615534,0,0,0
1,1,0.6966742103077271,1,1,0
0,1,0.6577029761253897,0,1,0
0,0,0.6602900426577951,0,1,0
1,0,0.9834709282789836,0,0,0
1,0,0.884258765362931,0,0,0
1,0,0.7018478641470647,0,0,0
1,1,0.9153947844754424,1,1,1
1,1,0.8610133583945302,1,0,1
0,1,0.1769422014033453,0,1,0
0,0,0.3179464601061215,0,0,0
0,1,0.4184999375348729,1,1,0
0,1,0.0841662060756174,1,0,0
0,0,0.5769524497931635,0,0,0
1,0,0.7800271101115752,1,0,1
0,0,0.7561038570573191,0,0,0
1,0,0.8426827009919522,0,1,0
1,0,0.6913409985109044,0,0,0
1,1,0.7023069276281696,1,0,1
1,0,0.619552205222375,1,0,0
1,0,0.8521749405147623,1,1,0
1,1,0.8921824544181858,1,0,1
1,1,0.7682530843076768,0,0,1
0,0,0.7981241779789303,0,0,0
1,0,0.5538003471269385,0,1,1
1,1,0.7230739173625906,1,0,0
0,1,0.0529117268248481,0,1,0
1,1,0.8411500923574586,1,0,1
0,1,0.1678253748238704,0,0,0
1,1,0.7712965845082882,1,0,0
0,0,0.3153152229197829,0,1,0
0,1,0.431905461477708,0,1,0
1,0,0.9801045162304663,1,0,0
1,1,0.986714008635015,1,0,1
0,0,0.4491273002852386,0,0,0
0,0,0.7220256214597257,0,1,1
1,0,0.6603263179496828,0,0,0
0,0,0.2914414719294864,0,0,0
1,0,0.894821584034651,1,0,1
1,1,0.7882336917024838,0,1,1
0,1,0.6343750660280705,0,1,0
0,1,0.3010421252769576,0,0,0
0,0,0.3266331582473487,0,0,0
1,1,0.5256559023357366,0,1,0
0,0,0.3383993013759374,0,1,0
1,1,0.7319085586715441,1,1,1
1,1,0.8060038484225573,0,1,0
1,1,0.993762808378064,1,0,1
1,1,0.8674357187695578,1,0,1
0,1,0.7298402792298706,0,1,0
1,1,0.4667817816840089,1,1,0
1,1,0.8965204388497117,1,0,1
1,1,0.4899212530929187,0,0,0
1,1,0.6564154115646068,0,1,0
1,1,0.6015837311387934,0,1,1
0,0,0.6650229482196065,0,0,0
1,1,0.8994580169185937,1,0,0
1,1,0.6829393879233997,0,0,1
1,0,0.778765338651843,0,0,0
0,1,0.3897837168861737,1,1,0
1,0,0.6683592946119015,1,0,0
1,1,0.4970983173491298,0,0,0
1,1,0.701509892779298,0,0,1
1,1,0.6266429394895598,1,1,1
0,1,0.5216768436976931,1,1,0
0,1,0.1668017653952507,0,1,0
0,1,0.4807030980204235,0,0,0
0,0,0.6253967933459889,0,0,0
0,1,0.4830143358839364,0,1,0
0,0,0.701641415820837,0,0,0
0,0,0.3659641902480215,0,0,0
1,1,0.9616761419796066,1,0,0
0,1,0.3459992210889025,0,1,0
1,1,0.7987518081221882,1,1,0
1,1,0.4429752200404556,0,0,0
0,0,0.6352556980738457,0,1,0
0,1,0.295346886606542,0,0,0
0,0,0.4450803977783218,0,1,0
0,1,0.1365293969575561,0,1,0
1,0,0.8140820191503528,0,0,0
1,1,0.8186507288912548,0,0,1
1,0,0.7802662327012667,0,0,1
0,1,0.6344328209871163,0,0,0
1,1,0.6096598973702059,0,0,1
0,1,0.4168013455399234,0,0,0
0,1,0.5240832214485763,0,1,0
1,0,0.7580013643054664,0,0,0
0,1,0.1930093710397329,0,1,0
0,1,0.2700788989224294,0,1,0
0,0,0.4633151830580671,0,0,0
0,0,0.7250769420337797,0,0,0
1,1,0.6423892685755919,0,0,1
0,0,0.4949888742043492,0,1,0
0,0,0.6066538708276821,0,0,0
1,1,0.8070074019225103,1,0,0
0,1,0.4889304225758525,1,0,0
1,0,0.9169664427730252,0,0,0
1,0,0.8501327084200005,0,0,0
0,1,0.4692331805260248,0,1,0
1,0,0.8583795833572149,0,1,0
0,0,0.3068937935590536,0,1,0
0,1,0.7526260295969931,1,0,0
0,0,0.1409391386699691,0,0,0
1,1,0.6244271293874967,1,1,1
0,0,0.8116739399711442,0,1,0
0,0,0.4811568405112456,0,0,0
0,0,0.5616097231208649,0,0,0
0,0,0.8077637907222934,0,1,0
0,1,0.4907600775274429,0,0,1
1,1,0.6630834619025631,1,1,0
0,0,0.4714549939245794,0,0,0
0,1,0.6472432207277319,0,1,0
1,1,0.8356650607079041,1,0,0
1,1,0.622055320527581,1,0,0
1,0,0.976640619116063,0,0,0
1,0,0.7896341247603571,0,0,1
1,1,0.9133597700535654,1,1,1
1,0,0.9332018673351292,0,0,0
0,0,0.514864136178989,0,0,0
0,0,0.9011738458555304,0,0,0
0,0,0.0533425367324295,1,1,0
0,1,0.2013159175332129,0,1,0
0,0,0.5550097408367222,1,0,0
0,0,0.4062630396028279,0,1,0
1,1,0.662969914527996,0,1,0
1,0,0.7974655529548037,0,1,1
0,0,0.7506394169256712,0,1,0
1,0,0.9188898734207568,0,0,0
0,1,0.5285547057057942,0,0,0
0,0,0.3365232458799258,0,0,0
1,1,0.7586857471748417,0,0,0
0,0,0.95657722572617,0,0,0
0,1,0.4013940483273208,0,0,0
0,1,0.5680076158921855,1,1,0
0,1,0.6386038400832584,0,1,0
0,0,0.3011609446535297,0,1,0
0,0,0.6077618085704374,0,1,0
0,0,0.5420020526092294,0,0,0
0,1,0.1725009192662133,0,1,0
1,1,0.4119448491349893,0,1,1
1,0,0.837510549313266,1,0,1
1,0,0.8141284985157493,0,1,1
0,0,0.3932794549218509,0,0,0
0,1,0.5734773539218517,0,1,0
0,0,0.542441020344919,0,1,0
1,0,0.7825646079676958,0,0,0
1,0,0.8507987351187305,0,0,0
0,1,0.3660566030814567,0,1,0
1,1,0.4919404068338389,0,0,0
1,1,0.8619569744488277,0,0,0
1,0,0.8109977759032085,0,0,0
0,1,0.4356681171276364,1,1,0
0,1,0.6014604686914421,1,1,0
0,0,0.7219783116057717,0,0,0
1,0,0.8592690538095558,0,0,1
1,1,0.6876154623043584,1,0,0
1,1,0.7007545976728503,1,1,0
0,1,0.405017144046321,0,1,0
0,1,0.2663518408859429,1,1,0
1,1,0.533408053624644,0,0,1
1,1,0.5847155254163288,0,1,1
1,0,0.568869688817966,0,0,0
0,0,0.1257851294462824,0,1,0
0,0,0.8329460303727632,0,0,0
0,0,0.592364260978837,0,0,0
1,1,0.3915221551860967,1,1,1
0,1,0.6482811213163485,0,1,0
0,0,0.3381309920223005,0,1,0
0,1,0.4947050875081686,0,1,1
1,1,0.8154411841187479,1,0,1
0,0,0.4212178371368167,0,0,0
1,0,0.5716627706077989,1,0,1
0,1,0.5510926373885086,0,1,0
1,0,0.7592456599733897,1,0,0
1,1,0.7252091713503023,1,0,1
0,0,0.5406470798485715,1,1,0
1,1,0.9924534399259636,1,0,1
1,1,0.6904335306602533,0,0,0
1,1,0.9278396514477214,0,0,1
0,0,0.6409182317316402,0,0,0
1,0,0.730566624619843,0,0,0
1,0,0.8370346591603324,1,0,1
1,1,0.8271110732665887,0,0,0
0,0,0.3427516390672208,0,1,0
0,0,0.5651097098460739,0,1,0
0,0,0.9922057031210187,0,0,1
1,0,0.6295524226532823,0,0,0
1,0,0.9110374981458972,0,0,1
1,0,0.8214654814714513,0,0,0
0,0,0.4176956474174312,0,0,0
0,0,0.4602487870392245,0,0,0
1,1,0.928245363020586,0,1,0
1,1,0.9685655521397116,1,0,1
1,0,0.5490950916451511,0,1,0
1,0,0.9026693466747332,0,0,1
0,0,0.3187971031745208,0,1,0
0,0,0.5186143262461123,0,0,0
0,0,0.519143016825541,0,0,0
1,0,0.7269265333649524,0,0,0
1,0,0.5220160808054969,1,0,1
0,1,0.3991617863862197,1,1,0
0,0,0.5438386187125609,0,0,0
1,0,0.9930966602203058,1,0,1
1,1,0.9421679664047388,0,1,0
1,1,0.5601385830930969,0,0,0
0,0,0.435473949682867,0,1,0
1,0,0.9361311720778394,0,0,0
0,1,0.596698382990682,0,1,0
0,0,0.5256497393970806,0,0,0
1,0,0.9884368661831048,1,0,1
0,0,0.5067850180538268,0,0,0
1,1,0.5386449311292028,0,0,0
0,0,0.6492372950942721,0,0,0
0,0,0.5416799969423582,0,0,0
1,1,0.9191380051863824,0,0,1
0,0,0.720958307401109,0,0,0
0,0,0.0147102092185339,0,1,0
1,0,0.9240671744524146,1,1,1
0,1,0.554226272147181,0,0,0
0,0,0.1828419393369574,0,1,0
0,0,0.3919513075460546,0,1,0
1,1,0.6297526211557005,1,0,0
1,1,0.6589422022051539,1,0,0
1,0,0.9980742450828972,0,0,0
1,0,0.901195498099466,0,0,0
1,1,0.686690691907015,0,0,1
0,0,0.4334719622518329,0,0,0
0,1,0.6659963530922252,0,0,0
1,1,0.65621895436624,0,1,0
1,0,0.6709466866986021,0,1,0
1,1,0.7210746809615124,0,1,0
0,0,0.4438948118492449,0,0,0
1,1,0.7757134122471996,0,0,0
0,0,0.3743303341490823,0,0,0
1,1,0.5517688481187596,0,0,0
0,0,0.2645195875684095,0,1,0
1,1,0.6495763023000867,0,0,0
1,0,0.6857788964056787,0,1,0
1,1,0.3306697779970732,0,1,0
0,0,0.9957677906380424,0,0,0
0,0,0.4241829458504088,0,0,0
1,1,0.8976816101998564,1,0,1
1,0,0.9314188973758066,1,0,1
1,1,0.6392559608208321,1,0,1
1,0,0.8196361070063192,0,0,0
0,0,0.7030264976181433,0,0,0
1,1,0.8983090045505945,1,0,0
1,1,0.65610343157152,0,1,1
0,0,0.4095307304750926,0,1,0
1,1,0.5676096909679526,1,1,1
1,0,0.8956096116642094,0,0,0
1,1,0.687596101067945,1,0,0
0,1,0.1733566870070834,0,0,0
1,1,0.6751745852408378,0,1,0
1,0,0.6404795413677348,0,1,0
0,1,0.6558396510470142,0,1,0
0,1,0.3086811741781071,0,1,0
1,1,0.5858739989853078,0,0,0
0,0,0.5730588504933882,0,1,0
1,1,0.9964276196483478,1,1,0
1,1,0.8137382823894751,1,0,1
0,0,0.4137394445545593,0,0,0
1,0,0.8950987523086597,0,0,0
0,1,0.2667741816159605,0,1,0
0,1,0.2549515458902838,0,1,0
1,1,0.9504218193365064,0,1,0
0,0,0.5722167902933774,0,0,0
0,1,0.4106859485035318,0,1,0
1,0,0.6617114834557525,0,0,0
0,0,0.3193229768807601,0,1,0
1,0,0.8535069637610307,0,1,0
1,1,0.9656193546315474,1,0,0
1,1,0.7339534948581175,1,1,1
0,0,0.4228719491665793,0,0,0
1,0,0.9434763948798908,0,0,0
1,1,0.7658724350717773,0,0,1
0,1,0.1601473283822954,0,0,0
1,1,0.7154791570276335,1,0,1
1,1,0.9393714978914768,1,0,1
0,0,0.2638212069945576,0,1,0
0,0,0.407247665921246,0,0,0
1,0,0.8145381710842867,0,0,0
1,1,0.7239090464573477,0,0,0
0,0,0.7759496715163929,0,0,0
1,1,0.5889411864440194,1,0,0
0,0,0.7374274917145855,0,0,0
1,0,0.797273513333437,0,0,0
1,1,0.7602396720249149,1,0,1
1,1,0.8848587546683384,0,1,1
0,1,0.6455233202887458,1,1,1
0,1,0.1410982982615386,0,1,0
1,0,0.957897021705736,0,0,0
1,1,0.9588588141320832,1,0,1
0,1,0.4793997615618373,0,1,0
1,0,0.976736686566636,1,0,1
0,0,0.3037839569675379,0,0,0
1,0,0.8879707518675426,0,0,0
1,0,0.6711554625892914,0,0,0
0,0,0.421394735882445,0,0,0
0,1,0.5729538727724763,1,1,1
0,0,0.2082063266443319,0,0,0
1,0,0.6386648934913307,0,0,0
0,0,0.7006788376832225,1,0,0
0,0,0.2968089160814252,0,1,0
0,0,0.4582944883547754,0,1,0
0,0,0.4033702181311924,0,1,0
0,0,0.8505667285622648,0,0,0
0,0,0.627747296156472,0,1,0
1,0,0.8623184067020369,0,0,0
1,0,0.9592657193500052,0,0,0
0,1,0.6489693928876415,0,0,0
1,0,0.7268900602341324,0,0,0
0,1,0.4266381484972649,1,1,1
0,1,0.2395158503931866,0,0,0
1,1,0.8077609007800859,1,0,1
0,0,0.6084912968627468,0,0,0
0,0,0.5567986202858728,0,0,0
1,1,0.8745065803972742,1,0,1
0,0,0.2627942669572318,0,1,0
1,0,0.7305385050578753,0,1,0
0,1,0.3079416069135242,0,1,0
1,1,0.5946580445415948,1,0,1
0,1,0.4742132789624171,0,1,1
0,1,0.3252081558539823,0,0,1
0,0,0.5755857684706875,1,0,0
0,0,0.6508188186948834,0,0,0
